番号,項目,語数
1.10,事柄,126
1.11,類,274
1.12,存在,97
1.13,様相,272
1.14,力,26
1.15,作用,480
1.16,時間,1362
1.17,空間,583
1.18,形,143
1.19,量,506
1.20,人間,792
1.21,家族,493
1.22,仲間,97
1.23,人物,2790
1.24,成員,1185
1.25,公私,2004
1.26,社会,404
1.27,機関,135
1.30,心,1375
1.31,言語,708
1.32,芸術,223
1.33,生活,734
1.34,行為,310
1.35,交わり,246
1.36,待遇,278
1.37,経済,143
1.38,事業,170
1.40,物品,78
1.41,資材,276
1.42,衣料,544
1.43,食料,174
1.44,住居,901
1.45,道具,617
1.46,機械,196
1.47,土地利用,275
1.50,自然,302
1.51,物質,528
1.52,天地,602
1.53,生物,5
1.54,植物,794
1.55,動物,432
1.56,身体,403
1.57,生命,199
2.10,真偽,2
2.11,類,83
2.12,存在,439
2.13,様相,238
2.14,力,1
2.15,作用,3238
2.16,時間,175
2.17,空間,48
2.19,量,13
2.30,心,2831
2.31,言語,795
2.32,芸術,136
2.33,生活,1119
2.34,行為,172
2.35,交わり,451
2.36,待遇,612
2.37,経済,184
2.38,事業,392
2.50,自然,284
2.51,物質,422
2.52,天地,4
2.56,身体,29
2.57,生命,449
3.10,真偽,96
3.11,類,74
3.12,存在,38
3.13,様相,599
3.14,力,32
3.15,作用,92
3.16,時間,187
3.17,空間,13
3.18,形,27
3.19,量,371
3.30,心,760
3.31,言語,25
3.33,生活,73
3.34,行為,259
3.35,交わり,12
3.36,待遇,82
3.37,経済,24
3.50,自然,183
3.51,物質,30
3.52,天地,13
3.53,生物,0
3.56,身体,23
3.57,生命,33
4.11,接続,75
4.30,感動,45
4.31,判断,61
4.32,呼び掛け,42
4.33,挨拶,32
4.50,動物の鳴き声,12
